广东,#genre#
佛山公共频道,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_ggpd.m3u8#rtmp://pili-live-rtmp.wdit.com.cn/wditlive/fs_ggpd
佛山综合频道,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_zhpd.m3u8#rtmp://pili-live-rtmp.wdit.com.cn/wditlive/fs_zhpd
佛山影视频道,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_yspd.m3u8#rtmp://pili-live-rtmp.wdit.com.cn/wditlive/fs_yspd
佛山南海频道,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_nhpd.m3u8#rtmp://pili-live-rtmp.wdit.com.cn/wditlive/fs_nhpd
佛山顺德频道,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_sdpd.m3u8#rtmp://pili-live-rtmp.wdit.com.cn/wditlive/fs_sdpd
佛山高明频道,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_gmpd.m3u8#rtmp://pili-live-rtmp.wdit.com.cn/wditlive/fs_gmpd
佛山三水频道,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_sspd.m3u8#rtmp://pili-live-rtmp.wdit.com.cn/wditlive/fs_sspd
番禺融媒,http://live.pybtv.cn/channel1/sd/live.m3u8#http://live.pybtv.cn/channel1/sd/live.m3u8?_upt=16fb00e01563813775
增城综合,http://202.168.164.38:8083/videos/live/19/27/QEQXMtU5AUpwo/QEQXMtU5AUpwo.M3U8
广东珠江,http://www.dszbdq.cn/play/gd.php?id=26#http://gdhj.chinashadt.com:2035/live/6.stream/playlist.m3u8

珠江电影,http://url.cn/0TWKM3Uu
广东新闻,http://www.dszbdq.cn/play/gdtv.php?id=CHTVB28
广东公共,http://www.dszbdq.cn/play/gdtv.php?id=CHTVB31
广东房产,http://szlive.grtn.cn/fcpd/sd/live.m3u8
广东科教,http://www.dszbdq.cn/play/gdtv.php?id=CHTVPtvs1hd
南方卫视,http://www.dszbdq.cn/play/gdtv.php?id=CHTVPtvs2
南方卫视上星,http://61.58.60.230:9319/live/228.m3u8#http://www.dszbdq.cn/play/gxlt.html?id=30#http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221227005/index.m3u8
广东少儿,http://url.cn/fr1w8FaY#http://www.dszbdq.cn/play/gdtv.php?id=CHTVPtvs5
广东影视,http://www.dszbdq.cn/play/gdtv.php?id=CHTVPtvs4
嘉佳卡通,http://liveplay-kk.rtxapp.com/live/program/live/jjkt/1300000/mnf.m3u8
